elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6600306,Bakı,Mercedes,GLS 450,2022,Offroader / SUV,Qara,3.0 L,367 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,145 555 $
6600310,Bakı,Kia,Rio,2006,Sedan,Göy,1.5 L,110 a.g.,Dizel,215 150 km,Avtomat,Ön,Xeyr,13 700 AZN
6600309,Bakı,Toyota,Land Cruiser,1992,Offroader / SUV,Yaş Asfalt,4.2 L,165 a.g.,Dizel,219 000 km,Avtomat,Tam,Xeyr,27 000 AZN
6600305,Bakı,Kia,Picanto,2006,Hetçbek / Liftbek,Gümüşü,1.1 L,64 a.g.,Benzin,115 750 km,Avtomat,Ön,Xeyr,9 200 AZN
6600281,Sumqayıt,Toyota,Prius,2007,Hetçbek / Liftbek,Göy,1.5 L,76 a.g.,Hibrid,256 800 km,Avtomat,Ön,Xeyr,12 000 AZN
6600300,Göyçay,Mercedes,C 220,2000,Universal,Qara,2.2 L,143 a.g.,Dizel,250 000 km,Mexaniki,Arxa,Xeyr,11 700 AZN
6600280,Bakı,LADA (VAZ),21099,2000,Sedan,Qızılı,1.5 L,75 a.g.,Benzin,240 000 km,Mexaniki,Ön,Xeyr,6 600 AZN
6507844,Bakı,BMW,528,2015,Sedan,Qara,2.0 L,245 a.g.,Benzin,141 000 km,Avtomat,Arxa,Xeyr,24 000 $
6600302,Şəmkir,LADA (VAZ),2106,1999,Sedan,Yaşıl,1.6 L,75 a.g.,Benzin,21 650 km,Mexaniki,Arxa,Xeyr,8 200 AZN
6600297,Bakı,LADA (VAZ),2107,2010,Sedan,Qara,1.6 L,75 a.g.,Benzin,140 000 km,Mexaniki,Arxa,Xeyr,7 600 AZN
6600290,Bakı,Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.2 L,197 a.g.,Dizel,210 000 km,Avtomat,Ön,Xeyr,25 900 AZN
6600293,Bakı,BMW,745,2002,Sedan,Qara,4.4 L,333 a.g.,Benzin,3 200 km,Avtomat,Arxa,Xeyr,43 000 $
6600282,Tovuz,Chevrolet,Cruze,2014,Sedan,Qırmızı,1.4 L,141 a.g.,Benzin,228 527 km,Avtomat,Ön,Xeyr,15 500 AZN
6600271,Sumqayıt,Opel,Vectra,1997,Sedan,Yaş Asfalt,1.6 L,101 a.g.,Benzin,324 000 km,Avtomat,Ön,Xeyr,5 200 AZN
6600284,Bakı,Mazda,3,2008,Sedan,Qırmızı,1.4 L,105 a.g.,Benzin,342 876 km,Avtomat,Ön,Xeyr,9 000 AZN
6600229,Bakı,Mercedes,190,1992,Sedan,Qəhvəyi,1.8 L,109 a.g.,Benzin,398 000 km,Avtomat,Tam,Xeyr,6 300 AZN
6591008,Xudat,Opel,Astra,2010,Hetçbek / Liftbek,Boz,1.4 L,90 a.g.,Benzin,225 500 km,Mexaniki,Ön,Xeyr,12 500 AZN
6562401,Bakı,Renault,Megane,2009,Universal,Göy,1.5 L,110 a.g.,Dizel,280 065 km,Mexaniki,Ön,Xeyr,11 800 AZN
6576193,Bakı,Opel,Astra,2005,Hetçbek / Liftbek,Boz,1.4 L,95 a.g.,Benzin,157 920 km,Mexaniki,Ön,Xeyr,11 300 AZN
6590307,Goranboy,Toyota,Prius,2007,Hetçbek / Liftbek,Gümüşü,1.5 L,76 a.g.,Hibrid,196 320 km,Avtomat,Ön,Xeyr,11 000 AZN
6542362,Bakı,LADA (VAZ),Priora,2013,Hetçbek / Liftbek,Ağ,1.6 L,98 a.g.,Benzin,200 000 km,Mexaniki,Ön,Xeyr,11 700 AZN
6596880,Sumqayıt,Chevrolet,Cruze,2014,Sedan,Qırmızı,1.4 L,140 a.g.,Benzin,198 741 km,Avtomat,Ön,Xeyr,14 500 AZN
6600274,Bakı,LADA (VAZ),2106,1990,Sedan,Bej,1.6 L,75 a.g.,Benzin,100 000 km,Mexaniki,Arxa,Xeyr,3 000 AZN
6600261,Şəki,LADA (VAZ),2106,1989,Sedan,Tünd qırmızı,1.3 L,65 a.g.,Benzin,175 500 km,Mexaniki,Arxa,Xeyr,3 000 AZN
6600251,Bakı,Mercedes,C 180,1995,Sedan,Yaş Asfalt,1.8 L,122 a.g.,Benzin,300 000 km,Avtomat,Arxa,Xeyr,8 000 AZN
6600264,Bakı,Renault,Megane,2007,Universal,Yaş Asfalt,1.4 L,100 a.g.,Benzin,215 158 km,Mexaniki,Ön,Xeyr,11 500 AZN
6600243,Xaçmaz,Hyundai,Elantra,2007,Sedan,Ağ,2.0 L,143 a.g.,Benzin,240 000 km,Avtomat,Ön,Xeyr,13 800 AZN
6600265,Xaçmaz,LADA (VAZ),2111,2001,Universal,Mavi,1.5 L,75 a.g.,Benzin,230 000 km,Mexaniki,Ön,Xeyr,6 700 AZN
6600240,Bakı,Chevrolet,Cruze,2017,Sedan,Ağ,1.4 L,153 a.g.,Benzin,176 500 km,Avtomat,Ön,Xeyr,16 300 AZN
6600266,Bakı,Chevrolet,Cruze,2012,Sedan,Qara,1.4 L,141 a.g.,Benzin,175 000 km,Avtomat,Ön,Xeyr,11 900 AZN
6600236,Ucar,Opel,Vectra,1997,Hetçbek / Liftbek,Qızılı,2.0 L,136 a.g.,Benzin,200 000 km,Avtomat,Ön,Xeyr,5 600 AZN
6600235,Bakı,Mercedes,E 270,2002,Sedan,Gümüşü,2.7 L,170 a.g.,Dizel,570 200 km,Avtomat,Tam,Xeyr,16 200 AZN
6575203,Sabirabad,BMW,525,2002,Sedan,Mavi,2.5 L,192 a.g.,Benzin,275 083 km,Avtomat,Arxa,Xeyr,14 500 AZN
6600234,Ucar,LADA (VAZ),2106,1990,Sedan,Ağ,1.3 L,64 a.g.,Benzin,444 444 km,Mexaniki,Arxa,Xeyr,3 500 AZN
