elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6294653,Bakı,Mercedes,S 350,2008,Sedan,Qara,3.5 L,272 a.g.,Benzin,268 000 km,Avtomat,Arxa,Xeyr,17 500 $
6586616,Bakı,Chevrolet,Cruze,2016,Sedan,Göy,1.4 L,153 a.g.,Benzin,82 000 km,Avtomat,Ön,Xeyr,17 800 AZN
6599613,Bakı,Mercedes,E 270,2001,Sedan,Göy,2.7 L,170 a.g.,Dizel,463 780 km,Avtomat,Arxa,Xeyr,16 700 AZN
6599481,Bakı,LADA (VAZ),2107,2004,Sedan,Ağ,1.5 L,65 a.g.,Benzin,258 000 km,Mexaniki,Arxa,Xeyr,4 900 AZN
6599663,Bakı,Mercedes,280 SE,1985,Sedan,Bej,2.8 L,185 a.g.,Benzin,600 000 km,Avtomat,Arxa,Xeyr,6 000 AZN
6564991,Bakı,Toyota,Auris,2017,Hetçbek / Liftbek,Yaş Asfalt,1.8 L,136 a.g.,Benzin,33 000 km,Avtomat,Ön,Xeyr,28 500 AZN
6599668,Bakı,Opel,Astra,2006,Hetçbek / Liftbek,Yaş Asfalt,1.4 L,90 a.g.,Benzin,189 000 km,Mexaniki,Ön,Xeyr,11 300 AZN
6583262,Bakı,Audi,R8,2010,Kupe,Ağ,4.2 L,430 a.g.,Benzin,74 000 km,Avtomat,Tam,Xeyr,45 000 $
6599669,Sumqayıt,Nissan,Sunny,2006,Sedan,Qara,1.6 L,107 a.g.,Benzin,311 000 km,Avtomat,Ön,Xeyr,10 800 AZN
6599542,Bakı,Ford,Fusion,2019,Sedan,Tünd qırmızı,1.5 L,184 a.g.,Benzin,75 000 km,Avtomat,Ön,Xeyr,22 900 AZN
6522068,Bakı,Toyota,Prius,2011,Hetçbek / Liftbek,Gümüşü,1.8 L,99 a.g.,Hibrid,218 000 km,Avtomat,Ön,Xeyr,16 300 AZN
6599667,Bakı,Ford,Fusion,2014,Sedan,Qara,1.5 L,181 a.g.,Benzin,282 000 km,Avtomat,Ön,Xeyr,16 300 AZN
6599666,Bakı,Chevrolet,Cruze,2012,Sedan,Mavi,1.4 L,141 a.g.,Benzin,237 388 km,Avtomat,Ön,Xeyr,13 500 AZN
6498796,Bakı,Toyota,Prado,2011,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,119 000 km,Avtomat,Tam,Xeyr,47 000 AZN
6599662,Bakı,Hyundai,Sonata,2008,Sedan,Gümüşü,2.4 L,161 a.g.,Benzin,239 792 km,Avtomat,Ön,Xeyr,14 900 AZN
6599664,Bakı,Mercedes,C 180,1997,Sedan,Tünd qırmızı,1.8 L,122 a.g.,Benzin,480 000 km,Avtomat,Arxa,Xeyr,10 300 AZN
6599661,Bakı,BMW,325,2003,Sedan,Ağ,2.5 L,192 a.g.,Benzin,265 000 km,Avtomat,Arxa,Xeyr,11 900 AZN
6587261,Ağdaş,Mercedes,E 220,2000,Sedan,Qara,2.2 L,143 a.g.,Dizel,508 000 km,Avtomat,Arxa,Xeyr,14 800 AZN
6599659,Bakı,Hyundai,Solaris,2015,Sedan,Ağ,1.6 L,123 a.g.,Benzin,112 000 km,Avtomat,Ön,Xeyr,19 500 AZN
6599660,Bakı,Kia,Rio,2010,Sedan,Ağ,1.4 L,97 a.g.,Benzin,171 000 km,Mexaniki,Ön,Xeyr,11 300 AZN
6599649,Bakı,Nissan,Tiida,2011,Hetçbek / Liftbek,Gümüşü,1.5 L,109 a.g.,Benzin,51 000 km,Avtomat,Ön,Xeyr,13 500 AZN
6587880,Şəki,Opel,Astra,2007,Hetçbek / Liftbek,Boz,1.4 L,90 a.g.,Benzin,145 000 km,Mexaniki,Ön,Xeyr,12 200 AZN
6578386,Sumqayıt,Kia,Mohave,2008,Offroader / SUV,Qara,3.8 L,274 a.g.,Benzin,210 000 km,Avtomat,Tam,Xeyr,19 500 AZN
6578386,Sumqayıt,Kia,Mohave,2008,Offroader / SUV,Qara,3.8 L,274 a.g.,Benzin,210 000 km,Avtomat,Tam,Xeyr,19 500 AZN
6599655,Gəncə,LADA (VAZ),2114,2006,Hetçbek / Liftbek,Qara,1.5 L,77 a.g.,Benzin,180 000 km,Mexaniki,Ön,Xeyr,5 000 AZN
6586173,Bakı,Kia,Ceed,2007,Hetçbek / Liftbek,Gümüşü,1.4 L,109 a.g.,Benzin,156 000 km,Mexaniki,Ön,Xeyr,12 700 AZN
6593480,Bakı,Chevrolet,Cruze,2018,Sedan,Göy,1.4 L,153 a.g.,Benzin,115 000 km,Avtomat,Ön,Xeyr,16 900 AZN
6599654,Zaqatala,Mitsubishi,Pajero io,2000,Offroader / SUV,Gümüşü,1.8 L,130 a.g.,Benzin,186 630 km,Avtomat,Tam,Xeyr,11 000 AZN
6599653,Bakı,Land Rover,Range Rover,2015,Offroader / SUV,Qara,5.0 L,510 a.g.,Benzin,46 000 km,Avtomat,Tam,Xeyr,92 500 $
6075475,Bakı,Geely,Emgrand,2022,Sedan,Ağ,1.5 L,105 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,34 900 AZN
6599651,Gəncə,Mercedes,C 220,1993,Sedan,Yaş Asfalt,2.2 L,150 a.g.,Benzin,345 000 km,Avtomat,Arxa,Xeyr,7 800 AZN
6356187,Balakən,LADA (VAZ),2107,2008,Sedan,Ağ,1.6 L,75 a.g.,Benzin,174 000 km,Mexaniki,Arxa,Xeyr,8 100 AZN
6599648,Bakı,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,1.7 L,80 a.g.,Benzin,170 000 km,Mexaniki,Tam,Xeyr,13 500 AZN
6572680,Bakı,Renault,Megane,2011,Universal,Boz,1.5 L,110 a.g.,Dizel,232 341 km,Mexaniki,Ön,Xeyr,13 900 AZN
6599643,Bakı,Volkswagen,Golf,1996,Sedan,Gümüşü,1.8 L,90 a.g.,Benzin,251 516 km,Mexaniki,Ön,Xeyr,2 900 AZN
6599218,Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Qara,1.5 L,76 a.g.,Hibrid,153 000 km,Variator,Ön,Xeyr,14 000 AZN
4868647,Bakı,Audi,RS7,2016,Hetçbek / Liftbek,Yaş Asfalt,4.0 L,560 a.g.,Benzin,62 000 km,Avtomat,Tam,Xeyr,75 555 $
6593574,Bakı,Mercedes,G 63 AMG,2016,Offroader / SUV,Ağ,5.5 L,571 a.g.,Benzin,81 000 km,Avtomat,Tam,Xeyr,96 000 $
6380522,Bakı,Kia,Rio,2010,Sedan,Qırmızı,1.4 L,97 a.g.,Benzin,110 000 km,Avtomat,Ön,Xeyr,13 600 AZN
6599636,Sabirabad,Mercedes,S 600,1992,Sedan,Göy,6.0 L,408 a.g.,Dizel,425 000 km,Mexaniki,Arxa,Xeyr,6 000 AZN
6599637,Şirvan,Iran Khodro,Azsamand,2005,Sedan,Gümüşü,1.8 L,110 a.g.,Benzin,200 000 km,Mexaniki,Ön,Xeyr,5 200 AZN
6593436,Bakı,Jeep,Grand Cherokee,2012,Offroader / SUV,Qara,3.6 L,286 a.g.,Benzin,95 000 km,Avtomat,Ön,Xeyr,37 000 AZN
6599635,Şəki,Daewoo,Nexia,1995,Sedan,Tünd qırmızı,1.5 L,90 a.g.,Benzin,234 561 km,Mexaniki,Ön,Xeyr,2 000 AZN
6596589,Şəki,Opel,Astra,2006,Hetçbek / Liftbek,Gümüşü,1.4 L,90 a.g.,Benzin,183 210 km,Mexaniki,Ön,Xeyr,12 200 AZN
6599633,Şəmkir,LADA (VAZ),2106,1986,Sedan,Ağ,1.5 L,65 a.g.,Benzin,51 872 km,Mexaniki,Tam,Xeyr,4 200 AZN
6599630,Bakı,BMW,X6,2008,Offroader / SUV,Bənövşəyi,3.0 L,306 a.g.,Benzin,146 000 km,Avtomat,Tam,Xeyr,19 300 $
6584533,Bakı,Toyota,Camry,2014,Sedan,Ağ,2.5 L,181 a.g.,Benzin,185 000 km,Avtomat,Ön,Xeyr,22 300 $
6537752,Bakı,Land Rover,RR Sport,2012,Offroader / SUV,Qara,3.0 L,245 a.g.,Dizel,282 470 km,Avtomat,Tam,Xeyr,28 540 $
6569248,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,65 000 km,Avtomat,Ön,Xeyr,26 500 AZN
6487574,Bakı,Mercedes,E 350,2010,Sedan,Qara,3.5 L,272 a.g.,Benzin,175 000 km,Avtomat,Arxa,Xeyr,31 500 AZN
