elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6599888,Sumqayıt,Chevrolet,Cruze,2015,Sedan,Yaş Asfalt,1.4 L,141 a.g.,Benzin,117 542 km,Avtomat,Ön,Xeyr,14 500 AZN
6599873,Bakı,Toyota,RAV 4,2016,Offroader / SUV,Gümüşü,2.5 L,180 a.g.,Hibrid,68 000 km,Avtomat,Tam,Xeyr,26 000 $
6599875,Tərtər,LADA (VAZ),2106,1983,Sedan,Bej,1.5 L,65 a.g.,Benzin,119 653 km,Mexaniki,Arxa,Xeyr,2 300 AZN
6569942,Şamaxı,Mercedes,E 220,2002,Sedan,Qara,2.2 L,150 a.g.,Dizel,275 360 km,Avtomat,Arxa,Xeyr,16 300 AZN
6599874,Beyləqan,Mercedes,C 180,1994,Sedan,Qara,1.8 L,122 a.g.,Benzin,387 934 km,Mexaniki,Arxa,Xeyr,7 000 AZN
6574978,Şirvan,Hyundai,Sonata,2011,Sedan,Qara,2.0 L,165 a.g.,Benzin,177 939 km,Avtomat,Ön,Xeyr,20 500 AZN
6599871,Sumqayıt,Mercedes,C 180,1999,Sedan,Qara,1.8 L,122 a.g.,Benzin,341 251 km,Avtomat,Arxa,Xeyr,10 700 AZN
6599869,Bakı,LADA (VAZ),2105,2006,Sedan,Göy,1.6 L,75 a.g.,Benzin,129 683 km,Mexaniki,Arxa,Xeyr,5 850 AZN
6599859,Bakı,Nissan,Tiida,2006,Hetçbek / Liftbek,Gümüşü,1.6 L,110 a.g.,Benzin,136 600 km,Avtomat,Ön,Xeyr,13 000 AZN
6599868,Bakı,Mitsubishi,Airtrek,2002,Offroader / SUV,Ağ,2.0 L,126 a.g.,Benzin,225 000 km,Avtomat,Tam,Xeyr,9 000 AZN
6563867,Sumqayıt,Hyundai,Accent,2016,Sedan,Boz,1.6 L,140 a.g.,Benzin,28 800 km,Avtomat,Ön,Xeyr,18 400 AZN
6524068,Bakı,LADA (VAZ),Niva,2017,Offroader / SUV,Yaş Asfalt,1.7 L,80 a.g.,Benzin,48 500 km,Mexaniki,Tam,Xeyr,15 500 AZN
6437129,Bakı,Changan,Uni-T,2021,Offroader / SUV,Yaş Asfalt,1.5 L,180 a.g.,Benzin,13 300 km,Avtomat,Ön,Xeyr,47 000 AZN
6590178,Tovuz,LADA (VAZ),2115,2012,Sedan,Ağ,1.6 L,80 a.g.,Benzin,136 600 km,Mexaniki,Ön,Xeyr,9 300 AZN
6565710,Sumqayıt,Nissan,Tiida,2012,Sedan,Gümüşü,1.5 L,109 a.g.,Benzin,49 850 km,Avtomat,Ön,Xeyr,13 800 AZN
6599860,Bakı,Kia,Sportage,2005,Offroader / SUV,Gümüşü,2.0 L,140 a.g.,Dizel,192 900 km,Avtomat,Tam,Xeyr,15 800 AZN
