elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6600648,Masallı,Mercedes,E 230,1997,Sedan,Göy,2.3 L,150 a.g.,Benzin,370 000 km,Avtomat,Arxa,Xeyr,12 200 AZN
6600644,Şəki,LADA (VAZ),2109,1989,Hetçbek / Liftbek,Bej,1.6 L,78 a.g.,Benzin,245 577 km,Mexaniki,Ön,Xeyr,2 400 AZN
6574536,Bakı,Nissan,Note,2013,Hetçbek / Liftbek,Mavi,1.2 L,80 a.g.,Benzin,46 000 km,Avtomat,Ön,Xeyr,13 500 AZN
6600637,Bakı,Chevrolet,Cruze,2011,Sedan,Gümüşü,1.4 L,141 a.g.,Benzin,119 348 km,Avtomat,Ön,Xeyr,13 500 AZN
6600636,Bakı,Khazar,LX,2019,Sedan,Ağ,1.7 L,113 a.g.,Benzin,51 000 km,Mexaniki,Ön,Xeyr,11 000 AZN
6524828,Bakı,Chevrolet,Cruze,2013,Sedan,Qızılı,1.4 L,140 a.g.,Benzin,229 000 km,Avtomat,Ön,Xeyr,13 300 AZN
6586223,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.4 L,184 a.g.,Benzin,120 000 km,Avtomat,Tam,Xeyr,32 400 AZN
6600634,Sumqayıt,Mitsubishi,Pajero,1993,Offroader / SUV,Ağ,2.8 L,125 a.g.,Dizel,223 000 km,Avtomat,Tam,Xeyr,13 000 AZN
6526525,Bakı,Mercedes,E 270,2002,Sedan,Gümüşü,2.7 L,170 a.g.,Dizel,390 000 km,Avtomat,Arxa,Xeyr,16 400 AZN
6600626,Goranboy,Opel,Vectra,1996,Hetçbek / Liftbek,Gümüşü,2.0 L,136 a.g.,Benzin,202 000 km,Mexaniki,Ön,Xeyr,5 000 AZN
6584085,Bakı,Toyota,Corolla,2011,Sedan,Ağ,1.8 L,136 a.g.,Benzin,253 000 km,Avtomat,Ön,Xeyr,17 900 AZN
6600622,Bakı,Toyota,Prado,2008,Offroader / SUV,Qara,2.7 L,167 a.g.,Benzin,195 000 km,Avtomat,Tam,Xeyr,34 000 AZN
6600611,Bakı,Chevrolet,Aveo,2018,Sedan,Yaş Asfalt,1.4 L,100 a.g.,Benzin,60 800 km,Avtomat,Ön,Xeyr,19 700 AZN
6600614,Gəncə,Kia,Sorento,2013,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,164 300 km,Avtomat,Ön,Xeyr,36 500 AZN
6412150,Biləsuvar,GAZ,24-10,1988,Sedan,Ağ,2.5 L,80 a.g.,Benzin,180 000 km,Mexaniki,Arxa,Xeyr,3 400 AZN
6600607,Bakı,Ford,Fusion,2017,Sedan,Ağ,1.5 L,181 a.g.,Benzin,138 000 km,Avtomat,Ön,Xeyr,23 400 AZN
6600609,Sumqayıt,LADA (VAZ),2107,2002,Sedan,Tünd qırmızı,1.6 L,75 a.g.,Benzin,158 000 km,Mexaniki,Arxa,Xeyr,4 700 AZN
6600608,Bakı,Nissan,Teana,2008,Sedan,Yaş Asfalt,2.5 L,173 a.g.,Benzin,181 000 km,Avtomat,Ön,Xeyr,16 800 AZN
6600606,Xırdalan,BYD,F3,2014,Sedan,Gümüşü,1.5 L,107 a.g.,Benzin,188 000 km,Mexaniki,Ön,Xeyr,9 500 AZN
6580035,Bakı,Hyundai,i30,2007,Hetçbek / Liftbek,Bej,1.4 L,109 a.g.,Benzin,199 000 km,Mexaniki,Ön,Xeyr,12 600 AZN
6600604,Bakı,Opel,Vectra,1999,Sedan,Gümüşü,1.8 L,116 a.g.,Benzin,395 000 km,Avtomat,Ön,Xeyr,7 100 AZN
6600560,Tovuz,BMW,X5,2002,Offroader / SUV,Qara,3.0 L,231 a.g.,Benzin,257 000 km,Avtomat,Tam,Xeyr,12 500 AZN
6600602,Bakı,Toyota,Camry,2008,Sedan,Ağ,2.4 L,167 a.g.,Benzin,223 000 km,Avtomat,Ön,Xeyr,20 700 AZN
6580052,Bakı,Mercedes,E 230,1997,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,450 000 km,Avtomat,Arxa,Xeyr,11 800 AZN
6600601,Bakı,Kia,Soul,2016,Hetçbek / Liftbek,Ağ,1.6 L,132 a.g.,Benzin,129 552 km,Avtomat,Ön,Xeyr,21 500 AZN
6582977,Bakı,BMW,X5,2022,Offroader / SUV,Ağ,3.0 L,400 a.g.,Dizel,18 000 km,Avtomat,Tam,Xeyr,112 000 $
6595740,Bakı,Mercedes,C 180,1994,Sedan,Qara,1.8 L,122 a.g.,Benzin,123 450 km,Mexaniki,Arxa,Xeyr,7 000 AZN
6600588,Qusar,Opel,Vectra,1999,Universal,Göy,1.8 L,116 a.g.,Benzin,400 000 km,Mexaniki,Ön,Xeyr,6 000 AZN
6600586,Bakı,Kia,Shuma,2003,Sedan,Qızılı,1.6 L,102 a.g.,Benzin,123 555 km,Mexaniki,Ön,Xeyr,5 100 AZN
6600585,Bakı,Mercedes,190,1991,Sedan,Yaş Asfalt,2.0 L,122 a.g.,Benzin,365 000 km,Avtomat,Arxa,Xeyr,5 000 AZN
6600584,Bakı,Hyundai,Accent,2013,Sedan,Qara,1.6 L,140 a.g.,Benzin,170 606 km,Avtomat,Ön,Xeyr,17 000 AZN
5939756,Bakı,Mercedes,200 CE,1984,Kupe,Qara,2.0 L,136 a.g.,Benzin,41 000 km,Avtomat,Arxa,Xeyr,50 000 AZN
6600587,Bakı,Audi,A6,2013,Sedan,Boz,2.0 L,190 a.g.,Benzin,27 000 km,Avtomat,Ön,Xeyr,22 800 $
6600580,Ağdam,Mercedes,190,1991,Sedan,Qara,2.0 L,122 a.g.,Benzin,350 000 km,Avtomat,Tam,Xeyr,6 000 AZN
6600572,Goranboy,Mercedes,E 200,1991,Sedan,Yaş Asfalt,2.0 L,136 a.g.,Benzin,465 389 km,Mexaniki,Arxa,Xeyr,6 200 AZN
6553453,Neftçala,Daewoo,Nexia,2011,Sedan,Qara,1.5 L,75 a.g.,Benzin,400 253 km,Mexaniki,Ön,Xeyr,6 300 AZN
6360960,Bakı,Chevrolet,Cruze,2016,Sedan,Ağ,1.4 L,153 a.g.,Benzin,113 700 km,Avtomat,Ön,Xeyr,17 500 AZN
6600573,İsmayıllı,GAZ,31105,2002,Sedan,Gümüşü,2.4 L,130 a.g.,Benzin,198 000 km,Mexaniki,Arxa,Xeyr,4 400 AZN
6599753,Sumqayıt,Kia,Cerato,2012,Sedan,Qara,1.6 L,124 a.g.,Benzin,157 000 km,Avtomat,Ön,Xeyr,15 500 AZN
6600570,Bakı,BMW,325,2004,Sedan,Qara,2.5 L,193 a.g.,Benzin,280 000 km,Avtomat,Arxa,Xeyr,17 000 AZN
6588328,Sumqayıt,Hyundai,Santa Fe,2017,Offroader / SUV,Qara,2.0 L,240 a.g.,Benzin,118 000 km,Avtomat,Tam,Xeyr,39 900 AZN
6600571,Bakı,LADA (VAZ),2104,2008,Universal,Ağ,1.6 L,75 a.g.,Benzin,100 100 km,Mexaniki,Arxa,Xeyr,6 500 AZN
6600558,Bakı,Chevrolet,Malibu,2016,Sedan,Tünd qırmızı,1.5 L,161 a.g.,Benzin,74 800 km,Avtomat,Ön,Xeyr,23 200 AZN
6600563,Bakı,Nissan,X-Trail,2001,Offroader / SUV,Qara,2.0 L,150 a.g.,Benzin,350 000 km,Avtomat,Tam,Xeyr,10 500 AZN
6530815,Bakı,Daewoo,Gentra,2014,Sedan,Ağ,1.5 L,107 a.g.,Benzin,222 222 km,Mexaniki,Ön,Xeyr,10 800 AZN
6600561,Sumqayıt,LADA (VAZ),2107,2000,Sedan,Ağ,1.6 L,75 a.g.,Benzin,252 523 km,Mexaniki,Arxa,Xeyr,3 800 AZN
6600559,Bakı,Kia,Ceed,2007,Hetçbek / Liftbek,Qara,1.4 L,109 a.g.,Benzin,224 500 km,Mexaniki,Ön,Xeyr,11 600 AZN
6600549,Ağdaş,Ssang Yong,Rexton,2002,Offroader / SUV,Ağ,2.9 L,120 a.g.,Dizel,386 000 km,Avtomat,Tam,Xeyr,8 800 AZN
6600546,Bakı,Opel,Astra,2007,Hetçbek / Liftbek,Boz,1.4 L,90 a.g.,Benzin,187 000 km,Mexaniki,Ön,Xeyr,12 600 AZN
6600543,Bakı,LADA (VAZ),Niva,2008,Offroader / SUV,Ağ,1.7 L,80 a.g.,Benzin,51 000 km,Mexaniki,Tam,Xeyr,9 800 AZN
6600533,Tovuz,Hyundai,Sonata,2011,Sedan,Göy,2.0 L,274 a.g.,Benzin,263 932 km,Avtomat,Ön,Xeyr,16 700 AZN
6595791,Bakı,Toyota,Prius,2007,Hetçbek / Liftbek,Qara,1.5 L,76 a.g.,Hibrid,249 000 km,Variator,Ön,Xeyr,13 700 AZN
6600537,Şəmkir,LADA (VAZ),2108,1992,Hetçbek / Liftbek,Qırmızı,1.6 L,78 a.g.,Benzin,208 090 km,Mexaniki,Ön,Xeyr,4 600 AZN
6597113,Şəki,LADA (VAZ),Niva,2021,Offroader / SUV,Qara,1.7 L,80 a.g.,Benzin,26 300 km,Mexaniki,Tam,Xeyr,18 800 AZN
6600523,Bakı,Toyota,Camry,2012,Sedan,Ağ,2.5 L,200 a.g.,Benzin,122 000 km,Avtomat,Ön,Xeyr,28 800 AZN
6600526,Bakı,LADA (VAZ),2115,2012,Sedan,Ağ,1.6 L,81 a.g.,Benzin,255 000 km,Mexaniki,Ön,Xeyr,9 200 AZN
6573562,Sumqayıt,Opel,Astra,2007,Universal,Boz,1.4 L,90 a.g.,Benzin,116 000 km,Mexaniki,Ön,Xeyr,12 300 AZN
6600522,Cəlilabad,LADA (VAZ),2115,2003,Sedan,Boz,1.6 L,98 a.g.,Benzin,125 000 km,Mexaniki,Arxa,Xeyr,5 500 AZN
6600524,Quba,Opel,Astra,1996,Universal,Göy,1.6 L,101 a.g.,Benzin,352 000 km,Mexaniki,Ön,Xeyr,4 500 AZN
6559074,Bakı,LADA (VAZ),2106,1997,Sedan,Bej,1.6 L,75 a.g.,Benzin,96 000 km,Mexaniki,Arxa,Xeyr,8 000 AZN
6555482,Bakı,Chevrolet,Cruze,2014,Sedan,Tünd qırmızı,1.4 L,140 a.g.,Benzin,283 400 km,Avtomat,Ön,Xeyr,12 300 AZN
6142433,Bakı,Renault,Duster,2012,Offroader / SUV,Ağ,2.0 L,135 a.g.,Benzin,252 000 km,Avtomat,Ön,Xeyr,14 500 AZN
6600518,Bakı,LADA (VAZ),Oka,2005,Hetçbek / Liftbek,Ağ,0.8 L,35 a.g.,Benzin,67 000 km,Mexaniki,Arxa,Xeyr,4 800 AZN
6600513,Gəncə,Kia,Sportage,2011,Offroader / SUV,Ağ,2.0 L,163 a.g.,Benzin,145 000 km,Avtomat,Tam,Xeyr,24 900 AZN
6600507,Bakı,LADA (VAZ),2107,2003,Sedan,Ağ,1.6 L,75 a.g.,Benzin,49 000 km,Mexaniki,Arxa,Xeyr,4 850 AZN
6563567,Bakı,Kia,Sorento,2015,Offroader / SUV,Qara,2.0 L,184 a.g.,Dizel,186 000 km,Avtomat,Ön,Xeyr,41 700 AZN
6570909,Bakı,Mercedes,E 200,1993,Sedan,Gümüşü,2.0 L,75 a.g.,Dizel,350 000 km,Mexaniki,Arxa,Xeyr,6 800 AZN
6443161,Bakı,Land Rover,Range Rover,2014,Offroader / SUV,Qızılı,3.0 L,340 a.g.,Benzin,122 800 km,Avtomat,Tam,Xeyr,59 000 $
