elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6604698,Bakı,BMW,525,1999,Sedan,Qara,2.5 L,192 a.g.,Benzin,234 000 km,Avtomat,Arxa,Xeyr,8 400 AZN
6604704,Bakı,BMW,528,2013,Sedan,Göy,2.0 L,245 a.g.,Benzin,115 000 km,Avtomat,Tam,Xeyr,19 500 $
6604705,Sumqayıt,Mercedes,E 230,1997,Sedan,Gümüşü,2.3 L,150 a.g.,Benzin,350 000 km,Avtomat,Arxa,Xeyr,11 700 AZN
6604693,Bakı,Nissan,Altima,2013,Sedan,Ağ,2.5 L,182 a.g.,Benzin,70 000 km,Avtomat,Ön,Xeyr,29 000 AZN
6548600,Quba,Mercedes,E 320,2002,Sedan,Gümüşü,3.2 L,224 a.g.,Benzin,282 000 km,Avtomat,Arxa,Xeyr,17 700 AZN
6604679,Bakı,Mercedes,E 220,2008,Sedan,Yaş Asfalt,2.2 L,170 a.g.,Dizel,251 000 km,Avtomat,Arxa,Xeyr,24 000 AZN
6604690,Qusar,LADA (VAZ),Priora,2015,Hetçbek / Liftbek,Ağ,1.6 L,106 a.g.,Benzin,175 000 km,Mexaniki,Ön,Xeyr,13 700 AZN
6592344,Bakı,Hyundai,Santa Fe,2008,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 532 km,Avtomat,Ön,Xeyr,21 300 AZN
6507760,Bakı,Infiniti,FX37,2013,Offroader / SUV,Qara,3.7 L,333 a.g.,Benzin,110 000 km,Avtomat,Tam,Xeyr,23 300 $
6604688,Bakı,Opel,Astra,2007,Universal,Gümüşü,1.3 L,90 a.g.,Dizel,241 500 km,Mexaniki,Ön,Xeyr,11 200 AZN
6604686,Bakı,Kia,Rio,2007,Sedan,Ağ,1.4 L,97 a.g.,Benzin,267 000 km,Avtomat,Ön,Xeyr,11 900 AZN
6595740,Bakı,Mercedes,C 180,1994,Sedan,Qara,1.8 L,122 a.g.,Benzin,123 450 km,Mexaniki,Arxa,Xeyr,7 000 AZN
6587730,Bakı,Toyota,RAV 4,2022,Offroader / SUV,Qara,2.0 L,175 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,37 900 $
6598119,Bakı,Nissan,Tiida,2011,Hetçbek / Liftbek,Qara,1.5 L,109 a.g.,Benzin,97 000 km,Avtomat,Ön,Xeyr,14 200 AZN
6598344,Bakı,Saipa,Tiba,2013,Sedan,Ağ,1.5 L,87 a.g.,Benzin,300 000 km,Mexaniki,Ön,Xeyr,5 900 AZN
6604681,Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,19 000 km,Avtomat,Arxa,Xeyr,20 900 AZN
6604682,Bakı,Opel,Omega,1998,Sedan,Gümüşü,2.0 L,136 a.g.,Benzin,400 000 km,Avtomat,Arxa,Xeyr,4 000 AZN
6547907,Bakı,Toyota,Highlander,2011,Offroader / SUV,Ağ,3.5 L,270 a.g.,Benzin,225 000 km,Avtomat,Tam,Xeyr,23 800 $
6592688,Bakı,Toyota,Camry,2015,Sedan,Qara,2.5 L,181 a.g.,Benzin,110 000 km,Avtomat,Ön,Xeyr,23 900 $
6572689,Bakı,Nissan,Tiida,2012,Hetçbek / Liftbek,Gümüşü,1.5 L,109 a.g.,Benzin,58 570 km,Avtomat,Ön,Xeyr,13 900 AZN
6604680,Gəncə,Opel,Astra,2006,Universal,Gümüşü,1.4 L,90 a.g.,Benzin,225 345 km,Mexaniki,Ön,Xeyr,10 500 AZN
6585836,Bakı,Toyota,Camry,2022,Sedan,Ağ,2.5 L,207 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,48 900 $
6604672,Bakı,Toyota,Prius,2006,Hetçbek / Liftbek,Yaş Asfalt,1.5 L,76 a.g.,Hibrid,204 000 km,Variator,Ön,Xeyr,12 000 AZN
6604669,Bakı,Opel,Tigra,1997,Kupe,Qara,1.4 L,90 a.g.,Benzin,200 000 km,Mexaniki,Ön,Xeyr,5 000 AZN
6544271,Bakı,Lexus,GX 460,2014,Offroader / SUV,Ağ,4.6 L,296 a.g.,Benzin,74 000 km,Avtomat,Tam,Xeyr,49 000 $
6454105,Bakı,Chevrolet,Cruze,2016,Sedan,Bənövşəyi,1.4 L,153 a.g.,Benzin,112 000 km,Avtomat,Arxa,Xeyr,15 500 AZN
6604670,Bakı,Hyundai,i40,2011,Sedan,Ağ,2.0 L,150 a.g.,Benzin,119 000 km,Avtomat,Tam,Xeyr,16 000 AZN
6558254,Bakı,Mercedes,E 220,2013,Sedan,Qara,2.2 L,170 a.g.,Dizel,290 000 km,Avtomat,Arxa,Xeyr,22 500 $
6530307,Bakı,Chevrolet,Malibu,2018,Sedan,Göy,1.5 L,160 a.g.,Benzin,78 000 km,Avtomat,Ön,Xeyr,20 900 AZN
6447131,Bakı,Toyota,Camry,2015,Sedan,Göy,2.5 L,181 a.g.,Benzin,70 000 km,Avtomat,Ön,Xeyr,28 900 AZN
6510450,Bakı,Mercedes,GLE 450,2019,Offroader / SUV,Ağ,3.0 L,367 a.g.,Benzin,45 700 km,Avtomat,Tam,Xeyr,74 900 $
6484287,Bakı,Mitsubishi,Pajero,2015,Offroader / SUV,Qara,3.8 L,250 a.g.,Benzin,102 000 km,Avtomat,Tam,Xeyr,39 800 AZN
6210743,Bakı,Chevrolet,Malibu,2020,Sedan,Boz,1.5 L,160 a.g.,Benzin,61 600 km,Avtomat,Ön,Xeyr,28 800 AZN
6604663,Şirvan,LADA (VAZ),2107,2008,Sedan,Göy,1.6 L,75 a.g.,Benzin,89 000 km,Mexaniki,Arxa,Xeyr,7 500 AZN
6544103,Bakı,Mitsubishi,Pajero,2016,Offroader / SUV,Qara,3.8 L,250 a.g.,Benzin,142 000 km,Avtomat,Tam,Xeyr,40 500 AZN
6604660,Bakı,GAZ,3110,1999,Sedan,Ağ,2.4 L,100 a.g.,Benzin,400 000 km,Mexaniki,Arxa,Xeyr,2 300 AZN
6506776,Bakı,Land Rover,Range Rover,2012,Offroader / SUV,Qara,5.0 L,510 a.g.,Benzin,80 000 km,Avtomat,Tam,Xeyr,42 500 $
6550131,Bakı,Toyota,Hilux,2022,Pikap,Ağ,2.4 L,150 a.g.,Dizel,0 km,Mexaniki,Tam,Bəli,36 900 $
6493365,Bakı,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L,249 a.g.,Hibrid,0 km,Avtomat,Tam,Bəli,65 500 $
6546511,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Qara,2.4 L,180 a.g.,Benzin,129 000 km,Avtomat,Tam,Xeyr,24 900 AZN
6603109,Sumqayıt,Hyundai,Santa Fe,2009,Offroader / SUV,Boz,2.0 L,184 a.g.,Dizel,160 000 km,Avtomat,Ön,Xeyr,24 300 AZN
6543844,Bakı,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L,249 a.g.,Hibrid,0 km,Avtomat,Tam,Bəli,49 500 $
6392492,Bakı,Toyota,Land Cruiser,2022,Offroader / SUV,Qara,3.5 L,415 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,118 900 $
6604675,Bakı,Toyota,Camry,2022,Sedan,Ağ,2.5 L,181 a.g.,Hibrid,0 km,Avtomat,Ön,Bəli,44 500 $
6604617,Bakı,Toyota,Highlander,2022,Offroader / SUV,Yaş Asfalt,2.6 L,256 a.g.,Hibrid,0 km,Avtomat,Tam,Bəli,67 500 $
6412657,Bakı,Toyota,Prado,2022,Offroader / SUV,Qara,2.7 L,167 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,53 900 $
6543817,Bakı,Nissan,Patrol,2022,Offroader / SUV,Yaş Asfalt,4.0 L,275 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,115 700 $
6546361,Bakı,Nissan,Maxima,2011,Sedan,Ağ,3.5 L,290 a.g.,Benzin,128 000 km,Avtomat,Ön,Xeyr,23 800 AZN
6595409,Bakı,Mercedes,C 180,1998,Sedan,Qara,1.8 L,122 a.g.,Benzin,235 500 km,Avtomat,Arxa,Xeyr,10 300 AZN
6591576,Bakı,Toyota,Highlander,2022,Offroader / SUV,Göy,2.5 L,248 a.g.,Hibrid,0 km,Avtomat,Ön,Bəli,49 800 $
6554814,Sumqayıt,Opel,Astra,1999,Hetçbek / Liftbek,Göy,1.6 L,101 a.g.,Benzin,210 000 km,Mexaniki,Ön,Xeyr,8 300 AZN
6591616,Bakı,Toyota,Highlander,2022,Offroader / SUV,Ağ,2.5 L,248 a.g.,Hibrid,0 km,Avtomat,Tam,Bəli,64 500 $
6572133,Bakı,Toyota,Prado,2011,Offroader / SUV,Qara,2.7 L,167 a.g.,Benzin,148 000 km,Avtomat,Tam,Xeyr,26 300 $
6548271,Bakı,Renault,Megane,2006,Universal,Göy,1.5 L,106 a.g.,Dizel,246 000 km,Mexaniki,Ön,Xeyr,10 300 AZN
6604668,Bakı,Kia,Sorento,2013,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,141 000 km,Avtomat,Tam,Xeyr,35 542 AZN
6511064,Bakı,Kia,Optima,2016,Sedan,Göy,1.6 L,178 a.g.,Benzin,58 419 km,Avtomat,Ön,Xeyr,24 500 AZN
6604658,Tovuz,Moskvich,412,1987,Sedan,Bej,1.5 L,65 a.g.,Benzin,142 167 km,Mexaniki,Arxa,Xeyr,5 000 AZN
6581212,Bakı,BMW,528,2014,Sedan,Boz,2.0 L,245 a.g.,Benzin,117 000 km,Avtomat,Arxa,Xeyr,20 500 $
6560932,Bakı,Mercedes,E 240,1999,Sedan,Yaş Asfalt,2.4 L,170 a.g.,Benzin,217 000 km,Avtomat,Arxa,Xeyr,14 000 AZN
6604652,Bakı,Opel,Astra,1995,Universal,Qara,1.6 L,101 a.g.,Benzin,366 000 km,Mexaniki,Arxa,Xeyr,3 300 AZN
6402723,Bakı,Toyota,Land Cruiser,2011,Offroader / SUV,Ağ,4.0 L,282 a.g.,Benzin,157 000 km,Avtomat,Tam,Xeyr,31 800 $
6604649,Sumqayıt,Opel,Astra,1996,Universal,Qızılı,1.6 L,75 a.g.,Benzin,384 000 km,Mexaniki,Ön,Xeyr,4 900 AZN
6604650,Ucar,LADA (VAZ),2115,2006,Sedan,Gümüşü,1.5 L,75 a.g.,Benzin,200 000 km,Mexaniki,Ön,Xeyr,6 300 AZN
6594849,Bakı,Toyota,Camry,2012,Sedan,Göy,2.5 L,181 a.g.,Benzin,143 000 km,Avtomat,Ön,Xeyr,26 500 AZN
6603559,Bakı,Kia,Rio,2012,Hetçbek / Liftbek,Ağ,1.6 L,123 a.g.,Benzin,172 500 km,Avtomat,Ön,Xeyr,17 500 AZN
6400729,Bakı,Land Rover,Discovery,2013,Offroader / SUV,Qara,3.0 L,256 a.g.,Dizel,112 500 km,Avtomat,Tam,Xeyr,36 999 $
6569060,Salyan,LADA (VAZ),2106,1980,Sedan,Ağ,1.6 L,75 a.g.,Benzin,100 000 km,Mexaniki,Arxa,Xeyr,2 100 AZN
6473437,Sumqayıt,Opel,Vectra,1998,Sedan,Göy,2.0 L,136 a.g.,Benzin,460 000 km,Avtomat,Ön,Xeyr,4 600 AZN
6604646,Bakı,BMW,325,1996,Kupe,Qırmızı,2.5 L,143 a.g.,Benzin,296 000 km,Mexaniki,Arxa,Xeyr,13 500 AZN
6604648,Bakı,LADA (VAZ),2102,1978,Universal,Qırmızı,1.5 L,75 a.g.,Benzin,254 000 km,Mexaniki,Arxa,Xeyr,3 000 AZN
6537342,Sumqayıt,Chevrolet,Cruze,2011,Sedan,Göy,1.4 L,138 a.g.,Benzin,130 000 km,Avtomat,Ön,Xeyr,13 900 AZN
6567198,Bakı,Mitsubishi,Pajero,2012,Offroader / SUV,Ağ,3.5 L,202 a.g.,Benzin,134 000 km,Avtomat,Tam,Xeyr,31 900 AZN
6587500,Bakı,Toyota,Corolla,2015,Sedan,Göy,1.8 L,132 a.g.,Benzin,45 000 km,Avtomat,Ön,Xeyr,24 800 AZN
6604653,Sumqayıt,BMW,X5,2005,Offroader / SUV,Qara,4.4 L,320 a.g.,Benzin,298 000 km,Avtomat,Tam,Xeyr,10 800 AZN
6590568,Bakı,Hyundai,Sonata,2013,Sedan,Gümüşü,2.0 L,274 a.g.,Benzin,98 000 km,Avtomat,Ön,Xeyr,22 900 AZN
6545361,Bakı,Opel,Astra,2006,Hetçbek / Liftbek,Gümüşü,1.4 L,90 a.g.,Benzin,175 900 km,Mexaniki,Ön,Xeyr,11 400 AZN
6558099,Sumqayıt,Toyota,Land Cruiser,2003,Offroader / SUV,Qara,4.5 L,224 a.g.,Benzin,294 000 km,Avtomat,Tam,Xeyr,25 500 AZN
6575389,Bakı,Toyota,Land Cruiser,2011,Offroader / SUV,Qara,4.0 L,282 a.g.,Benzin,195 000 km,Avtomat,Tam,Xeyr,32 500 $
6594683,Bakı,Kia,Optima,2015,Sedan,Qara,2.4 L,180 a.g.,Benzin,69 000 km,Avtomat,Ön,Xeyr,25 800 AZN
6594622,Bakı,Kia,Optima,2015,Sedan,Ağ,2.4 L,180 a.g.,Benzin,76 000 km,Avtomat,Ön,Xeyr,25 900 AZN
6604644,Bakı,Hyundai,Sonata,2012,Sedan,Ağ,2.0 L,165 a.g.,Benzin,153 000 km,Avtomat,Ön,Xeyr,23 800 AZN
6604641,Bakı,Ravon,R4,2017,Sedan,Ağ,1.5 L,87 a.g.,Benzin,247 000 km,Mexaniki,Ön,Xeyr,12 500 AZN
6562632,Sumqayıt,Hyundai,Sonata,2015,Sedan,Qara,2.0 L,274 a.g.,Benzin,63 000 km,Avtomat,Ön,Xeyr,29 900 AZN
6604607,Bakı,LADA (VAZ),2104,2001,Universal,Ağ,1.6 L,75 a.g.,Benzin,258 963 km,Mexaniki,Arxa,Xeyr,5 500 AZN
6525703,Bakı,Kia,Ceed,2008,Universal,Boz,1.6 L,115 a.g.,Dizel,161 000 km,Mexaniki,Ön,Xeyr,14 200 AZN
6604603,Bakı,Porsche,Panamera 4,2011,Hetçbek / Liftbek,Qara,3.6 L,300 a.g.,Benzin,84 000 km,Avtomat,Tam,Xeyr,45 000 $
6572854,Sumqayıt,Mercedes,E 320,2002,Sedan,Gümüşü,3.2 L,224 a.g.,Benzin,386 000 km,Avtomat,Arxa,Xeyr,16 900 AZN
6604643,Sumqayıt,Kia,Sportage,2013,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,183 000 km,Avtomat,Tam,Xeyr,27 900 AZN
6558248,Bakı,Mercedes,A 190,2000,Hetçbek / Liftbek,Gümüşü,1.9 L,125 a.g.,Benzin,285 850 km,Avtomat,Ön,Xeyr,6 200 AZN
6604637,Şəki,Mercedes,C 240,1998,Sedan,Qara,2.4 L,170 a.g.,Benzin,412 000 km,Avtomat,Arxa,Xeyr,11 800 AZN
6557176,Bakı,Lexus,RX 350,2006,Offroader / SUV,Ağ,3.5 L,270 a.g.,Benzin,240 000 km,Avtomat,Tam,Xeyr,17 200 AZN
6604561,Bakı,LADA (VAZ),2104,2002,Universal,Göy,1.6 L,75 a.g.,Benzin,250 000 km,Mexaniki,Arxa,Xeyr,6 500 AZN
6604634,Bakı,Nissan,Sunny,1999,Sedan,Yaş Asfalt,1.6 L,120 a.g.,Benzin,268 932 km,Avtomat,Ön,Xeyr,3 800 AZN
6576229,Bakı,Chevrolet,Malibu,2018,Sedan,Gümüşü,1.5 L,160 a.g.,Benzin,127 000 km,Avtomat,Ön,Xeyr,20 800 AZN
6604633,Masallı,LADA (VAZ),2106,2002,Sedan,Ağ,1.6 L,75 a.g.,Benzin,850 085 km,Mexaniki,Arxa,Xeyr,5 500 AZN
6559307,Bakı,Mercedes,C 230,1999,Sedan,Qara,2.3 L,193 a.g.,Benzin,252 000 km,Avtomat,Arxa,Xeyr,12 500 AZN
6604630,Bakı,BMW,530,2018,Sedan,Yaş Asfalt,2.0 L,249 a.g.,Benzin,47 000 km,Avtomat,Arxa,Xeyr,44 000 $
6604629,Göyçay,LADA (VAZ),2109,2000,Hetçbek / Liftbek,Göy,1.6 L,80 a.g.,Benzin,200 000 km,Mexaniki,Ön,Xeyr,12 800 AZN
6604627,Sumqayıt,Opel,Astra,1997,Universal,Qızılı,1.6 L,100 a.g.,Benzin,319 580 km,Mexaniki,Ön,Xeyr,4 800 AZN
6577520,Bakı,Toyota,Camry,2009,Sedan,Qara,2.4 L,167 a.g.,Benzin,187 000 km,Avtomat,Ön,Xeyr,21 900 AZN
6604628,Sumqayıt,Honda,Accord,2007,Sedan,Qara,2.4 L,190 a.g.,Benzin,298 427 km,Avtomat,Ön,Xeyr,11 600 AZN
6604626,Bakı,Audi,100,1992,Sedan,Göy,2.3 L,133 a.g.,Benzin,155 000 km,Mexaniki,Ön,Xeyr,3 500 AZN
6604596,Bakı,Mitsubishi,Airtrek,2001,Offroader / SUV,Narıncı,2.4 L,170 a.g.,Benzin,300 000 km,Avtomat,Tam,Xeyr,11 500 AZN
6556539,Bakı,LADA (VAZ),2115,2012,Sedan,Boz,1.6 L,75 a.g.,Benzin,217 000 km,Mexaniki,Ön,Xeyr,8 400 AZN
6576570,Bakı,SEAT,Leon,2012,Hetçbek / Liftbek,Ağ,1.6 L,150 a.g.,Benzin,225 000 km,Avtomat,Ön,Xeyr,9 900 AZN
6585959,Bakı,Hyundai,Elantra,2012,Sedan,Qara,1.8 L,150 a.g.,Benzin,157 000 km,Avtomat,Ön,Xeyr,18 300 AZN
6551755,Bakı,Kia,Rio,2005,Hetçbek / Liftbek,Qara,1.4 L,97 a.g.,Benzin,166 000 km,Mexaniki,Ön,Xeyr,10 700 AZN
6552489,Bakı,Hyundai,Elantra,2018,Sedan,Gümüşü,2.0 L,150 a.g.,Benzin,20 000 km,Avtomat,Ön,Xeyr,26 800 AZN
6479547,Bakı,Kia,Rio,2021,Sedan,Yaş Asfalt,1.6 L,123 a.g.,Benzin,12 500 km,Avtomat,Ön,Xeyr,33 900 AZN
6565782,Bakı,Mercedes,C 240,2000,Sedan,Qara,2.6 L,170 a.g.,Benzin,285 455 km,Avtomat,Arxa,Xeyr,8 800 AZN
6511265,Bakı,Jeep,Grand Cherokee,2014,Offroader / SUV,Ağ,3.6 L,286 a.g.,Benzin,145 000 km,Avtomat,Tam,Xeyr,30 900 $
6601199,Sumqayıt,Chevrolet,Cruze,2014,Sedan,Ağ,1.4 L,141 a.g.,Benzin,248 425 km,Avtomat,Ön,Xeyr,14 000 AZN
6511303,Bakı,BMW,330,2019,Sedan,Yaş Asfalt,2.0 L,258 a.g.,Benzin,19 000 km,Avtomat,Arxa,Xeyr,43 900 $
6594476,Sumqayıt,Kia,Optima,2014,Sedan,Ağ,2.0 L,274 a.g.,Benzin,103 000 km,Avtomat,Ön,Xeyr,24 900 AZN
5945740,Bakı,Jeep,Grand Cherokee,2014,Offroader / SUV,Yaş Asfalt,3.6 L,286 a.g.,Benzin,124 000 km,Avtomat,Tam,Xeyr,32 900 $
